iter	Logloss
0	0.5518763028
1	0.4760780822
2	0.4346536467
3	0.4112859002
4	0.3977182064
5	0.3896546642
6	0.3847842844
7	0.3818116633
8	0.3799626341
9	0.3788108701
10	0.3780836358
11	0.3776259429
12	0.3773371132
13	0.3771622062
14	0.3770439986
15	0.3769690539
16	0.3769208157
17	0.3768899561
18	0.3768699113
19	0.3768569579
20	0.3768487488
21	0.3768434619
22	0.3768399996
23	0.3768378116
24	0.3768363867
25	0.3768356352
26	0.3768353011
27	0.3768347866
28	0.3768344552
29	0.3768343427
30	0.3768342297
31	0.3768340953
32	0.3768340836
33	0.3768340026
34	0.3768339735
35	0.3768339412
36	0.3768339107
37	0.3768338981
38	0.376833896
39	0.3768338819
40	0.3768338771
41	0.3768338697
42	0.3768338684
43	0.3768338652
44	0.3768338644
45	0.3768338644
46	0.3768338643
47	0.3768338643
48	0.3768338643
49	0.3768338643
50	0.3768338643
51	0.3768338643
52	0.3768338643
53	0.3768338643
54	0.3768338643
55	0.3768338643
56	0.3768338643
57	0.3768338643
58	0.3768338643
59	0.3768338643
60	0.3768338643
61	0.3768338643
62	0.3768338643
63	0.3768338643
64	0.3768338643
65	0.3768338643
66	0.3768338643
67	0.3768338643
68	0.3768338643
69	0.3768338643
70	0.3768338643
71	0.3768338643
72	0.3768338643
73	0.3768338643
74	0.3768338643
75	0.3768338643
76	0.3768338643
77	0.3768338643
78	0.3768338643
79	0.3768338643
80	0.3768338643
81	0.3768338643
82	0.3768338643
83	0.3768338643
84	0.3768338643
85	0.3768338643
86	0.3768338643
87	0.3768338643
88	0.3768338643
89	0.3768338643
90	0.3768338643
91	0.3768338643
92	0.3768338643
93	0.3768338643
94	0.3768338643
95	0.3768338643
96	0.3768338643
97	0.3768338643
98	0.3768338643
99	0.3768338643
100	0.3768338643
101	0.3768338643
102	0.3768338643
103	0.3768338643
104	0.3768338643
105	0.3768338643
106	0.3768338643
107	0.3768338643
108	0.3768338643
109	0.3768338643
110	0.3768338643
111	0.3768338643
112	0.3768338643
113	0.3768338643
114	0.3768338643
115	0.3768338643
116	0.3768338643
117	0.3768338643
118	0.3768338643
119	0.3768338643
120	0.3768338643
121	0.3768338643
122	0.3768338643
123	0.3768338643
124	0.3768338643
125	0.3768338643
126	0.3768338643
127	0.3768338643
128	0.3768338643
129	0.3768338643
130	0.3768338643
131	0.3768338643
132	0.3768338643
133	0.3768338643
134	0.3768338643
135	0.3768338643
136	0.3768338643
137	0.3768338643
138	0.3768338643
139	0.3768338643
140	0.3768338643
141	0.3768338643
142	0.3768338643
143	0.3768338643
144	0.3768338643
145	0.3768338643
146	0.3768338643
147	0.3768338643
148	0.3768338643
149	0.3768338643
150	0.3768338643
151	0.3768338643
152	0.3768338643
153	0.3768338643
154	0.3768338643
155	0.3768338643
156	0.3768338643
157	0.3768338643
158	0.3768338643
159	0.3768338643
160	0.3768338643
161	0.3768338643
162	0.3768338643
163	0.3768338643
164	0.3768338643
165	0.3768338643
166	0.3768338643
167	0.3768338643
168	0.3768338643
169	0.3768338643
170	0.3768338643
171	0.3768338643
172	0.3768338643
173	0.3768338643
174	0.3768338643
175	0.3768338643
176	0.3768338643
177	0.3768338643
178	0.3768338643
179	0.3768338643
180	0.3768338643
181	0.3768338643
182	0.3768338643
183	0.3768338643
184	0.3768338643
185	0.3768338643
186	0.3768338643
187	0.3768338643
188	0.3768338643
189	0.3768338643
190	0.3768338643
191	0.3768338643
192	0.3768338643
193	0.3768338643
194	0.3768338643
195	0.3768338643
196	0.3768338643
197	0.3768338643
198	0.3768338643
199	0.3768338643
200	0.3768338643
201	0.3768338643
202	0.3768338643
203	0.3768338643
204	0.3768338643
205	0.3768338643
206	0.3768338643
207	0.3768338643
208	0.3768338643
209	0.3768338643
210	0.3768338643
211	0.3768338643
212	0.3768338643
213	0.3768338643
214	0.3768338643
215	0.3768338643
216	0.3768338643
217	0.3768338643
218	0.3768338643
219	0.3768338643
220	0.3768338643
221	0.3768338643
222	0.3768338643
223	0.3768338643
224	0.3768338643
225	0.3768338643
226	0.3768338643
227	0.3768338643
228	0.3768338643
229	0.3768338643
230	0.3768338643
231	0.3768338643
232	0.3768338643
233	0.3768338643
234	0.3768338643
235	0.3768338643
236	0.3768338643
237	0.3768338643
238	0.3768338643
239	0.3768338643
240	0.3768338643
241	0.3768338643
242	0.3768338643
243	0.3768338643
244	0.3768338643
245	0.3768338643
246	0.3768338643
247	0.3768338643
248	0.3768338643
249	0.3768338643
250	0.3768338643
251	0.3768338643
252	0.3768338643
253	0.3768338643
254	0.3768338643
255	0.3768338643
256	0.3768338643
257	0.3768338643
258	0.3768338643
259	0.3768338643
260	0.3768338643
261	0.3768338643
262	0.3768338643
263	0.3768338643
264	0.3768338643
265	0.3768338643
266	0.3768338643
267	0.3768338643
268	0.3768338643
269	0.3768338643
270	0.3768338643
271	0.3768338643
272	0.3768338643
273	0.3768338643
274	0.3768338643
275	0.3768338643
276	0.3768338643
277	0.3768338643
278	0.3768338643
279	0.3768338643
280	0.3768338643
281	0.3768338643
282	0.3768338643
283	0.3768338643
284	0.3768338643
285	0.3768338643
286	0.3768338643
287	0.3768338643
288	0.3768338643
289	0.3768338643
290	0.3768338643
291	0.3768338643
292	0.3768338643
293	0.3768338643
294	0.3768338643
295	0.3768338643
296	0.3768338643
297	0.3768338643
298	0.3768338643
299	0.3768338643
300	0.3768338643
301	0.3768338643
302	0.3768338643
303	0.3768338643
304	0.3768338643
305	0.3768338643
306	0.3768338643
307	0.3768338643
308	0.3768338643
309	0.3768338643
310	0.3768338643
311	0.3768338643
312	0.3768338643
313	0.3768338643
314	0.3768338643
315	0.3768338643
316	0.3768338643
317	0.3768338643
318	0.3768338643
319	0.3768338643
320	0.3768338643
321	0.3768338643
322	0.3768338643
323	0.3768338643
324	0.3768338643
325	0.3768338643
326	0.3768338643
327	0.3768338643
328	0.3768338643
329	0.3768338643
330	0.3768338643
331	0.3768338643
332	0.3768338643
333	0.3768338643
334	0.3768338643
335	0.3768338643
336	0.3768338643
337	0.3768338643
338	0.3768338643
339	0.3768338643
340	0.3768338643
341	0.3768338643
342	0.3768338643
343	0.3768338643
344	0.3768338643
345	0.3768338643
346	0.3768338643
347	0.3768338643
348	0.3768338643
349	0.3768338643
350	0.3768338643
351	0.3768338643
352	0.3768338643
353	0.3768338643
354	0.3768338643
355	0.3768338643
356	0.3768338643
357	0.3768338643
358	0.3768338643
359	0.3768338643
360	0.3768338643
361	0.3768338643
362	0.3768338643
363	0.3768338643
364	0.3768338643
365	0.3768338643
366	0.3768338643
367	0.3768338643
368	0.3768338643
369	0.3768338643
370	0.3768338643
371	0.3768338643
372	0.3768338643
373	0.3768338643
374	0.3768338643
375	0.3768338643
376	0.3768338643
377	0.3768338643
378	0.3768338643
379	0.3768338643
380	0.3768338643
381	0.3768338643
382	0.3768338643
383	0.3768338643
384	0.3768338643
385	0.3768338643
386	0.3768338643
387	0.3768338643
388	0.3768338643
389	0.3768338643
390	0.3768338643
391	0.3768338643
392	0.3768338643
393	0.3768338643
394	0.3768338643
395	0.3768338643
396	0.3768338643
397	0.3768338643
398	0.3768338643
399	0.3768338643
400	0.3768338643
401	0.3768338643
402	0.3768338643
403	0.3768338643
404	0.3768338643
405	0.3768338643
406	0.3768338643
407	0.3768338643
408	0.3768338643
409	0.3768338643
410	0.3768338643
411	0.3768338643
412	0.3768338643
413	0.3768338643
414	0.3768338643
415	0.3768338643
416	0.3768338643
417	0.3768338643
418	0.3768338643
419	0.3768338643
420	0.3768338643
421	0.3768338643
422	0.3768338643
423	0.3768338643
424	0.3768338643
425	0.3768338643
426	0.3768338643
427	0.3768338643
428	0.3768338643
429	0.3768338643
430	0.3768338643
431	0.3768338643
432	0.3768338643
433	0.3768338643
434	0.3768338643
435	0.3768338643
436	0.3768338643
437	0.3768338643
438	0.3768338643
439	0.3768338643
440	0.3768338643
441	0.3768338643
442	0.3768338643
443	0.3768338643
444	0.3768338643
445	0.3768338643
446	0.3768338643
447	0.3768338643
448	0.3768338643
449	0.3768338643
450	0.3768338643
451	0.3768338643
452	0.3768338643
453	0.3768338643
454	0.3768338643
455	0.3768338643
456	0.3768338643
457	0.3768338643
458	0.3768338643
459	0.3768338643
460	0.3768338643
461	0.3768338643
462	0.3768338643
463	0.3768338643
464	0.3768338643
465	0.3768338643
466	0.3768338643
467	0.3768338643
468	0.3768338643
469	0.3768338643
470	0.3768338643
471	0.3768338643
472	0.3768338643
473	0.3768338643
474	0.3768338643
475	0.3768338643
476	0.3768338643
477	0.3768338643
478	0.3768338643
479	0.3768338643
480	0.3768338643
481	0.3768338643
482	0.3768338643
483	0.3768338643
484	0.3768338643
485	0.3768338643
486	0.3768338643
487	0.3768338643
488	0.3768338643
489	0.3768338643
490	0.3768338643
491	0.3768338643
492	0.3768338643
493	0.3768338643
494	0.3768338643
495	0.3768338643
496	0.3768338643
497	0.3768338643
498	0.3768338643
499	0.3768338643
500	0.3768338643
501	0.3768338643
502	0.3768338643
503	0.3768338643
504	0.3768338643
505	0.3768338643
506	0.3768338643
507	0.3768338643
508	0.3768338643
509	0.3768338643
510	0.3768338643
511	0.3768338643
512	0.3768338643
513	0.3768338643
514	0.3768338643
515	0.3768338643
516	0.3768338643
517	0.3768338643
518	0.3768338643
519	0.3768338643
520	0.3768338643
521	0.3768338643
522	0.3768338643
523	0.3768338643
524	0.3768338643
525	0.3768338643
526	0.3768338643
527	0.3768338643
528	0.3768338643
529	0.3768338643
530	0.3768338643
531	0.3768338643
532	0.3768338643
533	0.3768338643
534	0.3768338643
535	0.3768338643
536	0.3768338643
537	0.3768338643
538	0.3768338643
539	0.3768338643
540	0.3768338643
541	0.3768338643
542	0.3768338643
543	0.3768338643
544	0.3768338643
545	0.3768338643
546	0.3768338643
547	0.3768338643
548	0.3768338643
549	0.3768338643
550	0.3768338643
551	0.3768338643
552	0.3768338643
553	0.3768338643
554	0.3768338643
555	0.3768338643
556	0.3768338643
557	0.3768338643
558	0.3768338643
559	0.3768338643
560	0.3768338643
561	0.3768338643
562	0.3768338643
563	0.3768338643
564	0.3768338643
565	0.3768338643
566	0.3768338643
567	0.3768338643
568	0.3768338643
569	0.3768338643
570	0.3768338643
571	0.3768338643
572	0.3768338643
573	0.3768338643
574	0.3768338643
575	0.3768338643
576	0.3768338643
577	0.3768338643
578	0.3768338643
579	0.3768338643
580	0.3768338643
581	0.3768338643
582	0.3768338643
583	0.3768338643
584	0.3768338643
585	0.3768338643
586	0.3768338643
587	0.3768338643
588	0.3768338643
589	0.3768338643
590	0.3768338643
591	0.3768338643
592	0.3768338643
593	0.3768338643
594	0.3768338643
